aqs id,Date_local,latitude_x,longitude_x,Avg temp Centrigrade,sunshine minutes,pm2.5_conc
01-073-0023,3/9/2018,33.553056,-86.815,7.4,,16.8
01-073-0023,3/12/2018,33.553056,-86.815,8.7,,4.5
01-073-0023,3/15/2018,33.553056,-86.815,9,,13.8
01-073-0023,3/18/2018,33.553056,-86.815,18,,12.7
01-073-0023,3/21/2018,33.553056,-86.815,7.3,,7.8
01-073-0023,3/24/2018,33.553056,-86.815,18.3,,10.5
01-073-0023,3/27/2018,33.553056,-86.815,13.2,,8.6
01-073-0023,3/30/2018,33.553056,-86.815,14.6,,5.7
01-073-0023,4/2/2018,33.553056,-86.815,20.8,,15.9
01-073-0023,4/5/2018,33.553056,-86.815,10.5,,10
01-073-0023,4/8/2018,33.553056,-86.815,7.1,,6.7
01-073-0023,4/11/2018,33.553056,-86.815,13.9,,11.7
01-073-0023,4/14/2018,33.553056,-86.815,21,,6.5
01-073-0023,4/17/2018,33.553056,-86.815,13.5,,9.2
01-073-0023,4/20/2018,33.553056,-86.815,12.2,,12.8
01-073-0023,4/23/2018,33.553056,-86.815,17.5,,6.6
01-073-0023,4/26/2018,33.553056,-86.815,15.4,,6.8
01-073-0023,4/29/2018,33.553056,-86.815,16.5,,6.3
01-073-0023,5/2/2018,33.553056,-86.815,23.3,,13.1
01-073-0023,5/5/2018,33.553056,-86.815,21.6,,14.3
01-073-0023,5/8/2018,33.553056,-86.815,22.5,,16.8
01-073-0023,5/11/2018,33.553056,-86.815,25.3,,17.5
01-073-0023,5/14/2018,33.553056,-86.815,26.8,,24.9
01-073-0023,5/17/2018,33.553056,-86.815,21.9,,6.3
01-073-0023,5/20/2018,33.553056,-86.815,26.4,,15.2
01-073-0023,5/23/2018,33.553056,-86.815,24.9,,9.8
01-073-0023,5/26/2018,33.553056,-86.815,23.8,,4.3
01-073-0023,5/29/2018,33.553056,-86.815,22,,5
01-073-0023,6/1/2018,33.553056,-86.815,26.5,,5.9
01-073-0023,6/4/2018,33.553056,-86.815,24.2,,8.3
01-073-0023,6/7/2018,33.553056,-86.815,25.9,,18.8
01-073-0023,6/10/2018,33.553056,-86.815,25.3,,8.3
01-073-0023,6/13/2018,33.553056,-86.815,23.7,,3.3
01-073-0023,6/16/2018,33.553056,-86.815,27.9,,11.3
01-073-0023,6/19/2018,33.553056,-86.815,27.9,,22.5
01-073-0023,6/22/2018,33.553056,-86.815,24.9,,6.6
01-073-0023,6/25/2018,33.553056,-86.815,26.7,,5
01-073-0023,7/1/2018,33.553056,-86.815,27.2,,9.3
01-073-0023,7/4/2018,33.553056,-86.815,27.9,,13.8
01-073-0023,7/7/2018,33.553056,-86.815,25.4,,7.3
01-073-0023,7/10/2018,33.553056,-86.815,28,,16.7
01-073-0023,7/13/2018,33.553056,-86.815,27.9,,11.9
01-073-0023,7/19/2018,33.553056,-86.815,27.2,,7
01-073-0023,7/22/2018,33.553056,-86.815,27.5,,7.3
01-073-0023,7/25/2018,33.553056,-86.815,27,,13
01-073-0023,7/28/2018,33.553056,-86.815,27.6,,10.3
01-073-0023,7/31/2018,33.553056,-86.815,26.8,,8.2
01-073-0023,8/5/2018,33.553056,-86.815,27.8,,8.8
01-073-0023,8/6/2018,33.553056,-86.815,27.9,,3.2
01-073-0023,8/9/2018,33.553056,-86.815,25.9,,5.4
01-073-0023,8/12/2018,33.553056,-86.815,27.4,,9.7
01-073-0023,8/15/2018,33.553056,-86.815,28.5,,12.4
01-073-0023,8/18/2018,33.553056,-86.815,26.2,,5.6
01-073-0023,8/21/2018,33.553056,-86.815,26.3,,8.3
01-073-0023,8/24/2018,33.553056,-86.815,24.9,,15.2
01-073-0023,8/27/2018,33.553056,-86.815,28.2,,14.8
01-073-0023,8/30/2018,33.553056,-86.815,26.5,,3.8
01-073-0023,9/5/2018,33.553056,-86.815,26.3,,9.9
01-073-0023,9/8/2018,33.553056,-86.815,28,,9.3
01-073-0023,9/11/2018,33.553056,-86.815,24.2,,8.4
01-073-0023,9/14/2018,33.553056,-86.815,27.4,,8.7
01-073-0023,9/20/2018,33.553056,-86.815,29,,16.1
01-073-0023,9/23/2018,33.553056,-86.815,27.1,,9
01-073-0023,9/26/2018,33.553056,-86.815,24.3,,6.1
01-073-0023,9/29/2018,33.553056,-86.815,23.5,,12.1
01-073-0023,10/2/2018,33.553056,-86.815,25.5,,8.3
01-073-0023,10/5/2018,33.553056,-86.815,26.2,,15.9
01-073-0023,10/8/2018,33.553056,-86.815,26.2,,6.7
01-073-0023,10/11/2018,33.553056,-86.815,22.8,,5.4
01-073-0023,10/14/2018,33.553056,-86.815,21.9,,7.1
01-073-0023,10/17/2018,33.553056,-86.815,16.9,,4.7
01-073-0023,10/20/2018,33.553056,-86.815,19.4,,8
01-073-0023,10/23/2018,33.553056,-86.815,13.9,,18.3
01-073-0023,10/26/2018,33.553056,-86.815,12.9,,0.9
01-073-0023,10/29/2018,33.553056,-86.815,16.9,,12.1
01-073-0023,11/2/2018,33.553056,-86.815,12.9,,5.9
01-073-0023,11/4/2018,33.553056,-86.815,14.4,,7.3
01-073-0023,12/10/2018,33.553056,-86.815,3.7,,9.1
01-073-0023,12/13/2018,33.553056,-86.815,10.7,,9.1
01-073-0023,12/16/2018,33.553056,-86.815,10.2,,5.2
01-073-0023,12/19/2018,33.553056,-86.815,8.8,,17.9
01-073-0023,12/22/2018,33.553056,-86.815,5.5,,7.9
01-073-0023,12/25/2018,33.553056,-86.815,6,,9.6
01-073-0023,12/28/2018,33.553056,-86.815,15.5,0,4.9
01-073-0023,12/31/2018,33.553056,-86.815,18.8,,5.5
01-073-0023,1/3/2019,33.553056,-86.815,10.9,,5.329167
01-073-0023,1/6/2019,33.553056,-86.815,9.3,,15.570833
01-073-0023,1/9/2019,33.553056,-86.815,10,,3.070833
01-073-0023,1/12/2019,33.553056,-86.815,9.2,,10.675
01-073-0023,1/15/2019,33.553056,-86.815,3.8,,12.3875
01-073-0023,1/18/2019,33.553056,-86.815,11.7,,15.708333
01-073-0023,1/21/2019,33.553056,-86.815,-0.1,,6.083333
01-073-0023,1/24/2019,33.553056,-86.815,5.2,,7.0625
01-073-0023,1/27/2019,33.553056,-86.815,5.4,,17
01-073-0023,1/30/2019,33.553056,-86.815,-0.6,,8.170833
01-073-0023,2/2/2019,33.553056,-86.815,11.1,,13.204167
01-073-0023,2/5/2019,33.553056,-86.815,18,,9.945833
01-073-0023,2/8/2019,33.553056,-86.815,10.4,,5.2875
01-073-0023,2/11/2019,33.553056,-86.815,12.7,,12.604167
01-073-0023,2/14/2019,33.553056,-86.815,9.3,,10.5625
01-073-0023,2/17/2019,33.553056,-86.815,13,,11.0125
01-073-0023,2/20/2019,33.553056,-86.815,10.2,,6.491667
01-073-0023,2/23/2019,33.553056,-86.815,17.4,,9.866667
01-073-0023,2/26/2019,33.553056,-86.815,13.3,,9.470833
01-073-0023,3/1/2019,33.553056,-86.815,16.8,,5.9875
01-073-0023,3/4/2019,33.553056,-86.815,2.4,,10.095833
01-073-0023,3/7/2019,33.553056,-86.815,5.3,,16.316667
01-073-0023,3/10/2019,33.553056,-86.815,18.3,,7.166667
01-073-0023,3/13/2019,33.553056,-86.815,18.8,,7.95
01-073-0023,3/16/2019,33.553056,-86.815,9.7,,3.816667
01-073-0023,3/19/2019,33.553056,-86.815,9.3,,9.208333
01-073-0023,3/22/2019,33.553056,-86.815,12.2,,8.320833
01-073-0023,3/25/2019,33.553056,-86.815,17.9,,12.620833
01-073-0023,3/28/2019,33.553056,-86.815,15.9,,9.795833
01-073-0023,3/31/2019,33.553056,-86.815,10.4,,6.0375
01-073-0023,4/3/2019,33.553056,-86.815,13.6,,16.191667
01-073-0023,4/6/2019,33.553056,-86.815,19.2,,14.041667
01-073-0023,4/9/2019,33.553056,-86.815,21,,6.3375
